
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:10.855527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3575530679:3575530787, ack 3367172592, win 310, length 108
19:16:10.919258 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 33776:33932, ack 1, win 310, length 156
19:16:10.919371 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 33932:34088, ack 1, win 310, length 156
19:16:10.919483 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 34088:34244, ack 1, win 310, length 156
19:16:10.919593 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 34244:34400, ack 1, win 310, length 156
19:16:10.919708 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 34400:34556, ack 1, win 310, length 156
19:16:10.919822 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 34556:34712, ack 1, win 310, length 156
19:16:10.919973 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 34712:34868, ack 1, win 310, length 156
19:16:10.920092 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 34868:35024, ack 1, win 310, length 156
19:16:10.920204 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35024:35180, ack 1, win 310, length 156
19:16:10.920317 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35180:35336, ack 1, win 310, length 156
19:16:10.920430 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35336:35492, ack 1, win 310, length 156
19:16:10.920542 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35492:35648, ack 1, win 310, length 156
19:16:10.920657 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35648:35804, ack 1, win 310, length 156
19:16:10.920772 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35804:35960, ack 1, win 310, length 156
19:16:10.920884 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 35960:36116, ack 1, win 310, length 156
19:16:10.921008 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 28004, win 512, length 0
19:16:10.921052 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 31436, win 512, length 0
19:16:10.921187 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 36116:36272, ack 1, win 310, length 156
19:16:10.921301 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 36272:36508, ack 1, win 310, length 236
19:16:10.921380 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 32840, win 512, length 0
19:16:10.921488 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 36508:36664, ack 1, win 310, length 156
19:16:10.921602 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 36664:36916, ack 1, win 310, length 252
19:16:10.921704 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 36916:37072, ack 1, win 310, length 156
19:16:10.921807 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 37072:37228, ack 1, win 310, length 156
19:16:10.921938 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 37228:37384, ack 1, win 310, length 156
19:16:10.922042 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 37384:37540, ack 1, win 310, length 156
19:16:10.922153 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 37540:37696, ack 1, win 310, length 156
19:16:10.922268 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 37696:37852, ack 1, win 310, length 156
19:16:10.922374 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 37852:38008, ack 1, win 310, length 156
19:16:10.922478 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38008:38164, ack 1, win 310, length 156
19:16:10.922581 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38164:38320, ack 1, win 310, length 156
19:16:10.922685 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38320:38476, ack 1, win 310, length 156
19:16:10.922807 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38476:38632, ack 1, win 310, length 156
19:16:10.922910 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38632:38788, ack 1, win 310, length 156
19:16:10.923013 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38788:38944, ack 1, win 310, length 156
19:16:10.923117 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 38944:39100, ack 1, win 310, length 156
19:16:10.923224 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 39100:39256, ack 1, win 310, length 156
19:16:10.923328 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 39256:39412, ack 1, win 310, length 156
19:16:10.923431 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 39412:39568, ack 1, win 310, length 156
19:16:10.923533 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 39568:39724, ack 1, win 310, length 156
19:16:10.923636 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 39724:39880, ack 1, win 310, length 156
19:16:10.923738 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 39880:40036, ack 1, win 310, length 156
19:16:10.923841 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40036:40192, ack 1, win 310, length 156
19:16:10.923974 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40192:40348, ack 1, win 310, length 156
19:16:10.924083 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40348:40504, ack 1, win 310, length 156
19:16:10.924185 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40504:40660, ack 1, win 310, length 156
19:16:10.924287 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40660:40816, ack 1, win 310, length 156
19:16:10.924389 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40816:40972, ack 1, win 310, length 156
19:16:10.924491 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 40972:41128, ack 1, win 310, length 156
19:16:10.924594 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 41128:41284, ack 1, win 310, length 156
19:16:10.924642 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 41284:41440, ack 1, win 310, length 156
19:16:10.924771 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 41440:41708, ack 1, win 310, length 268
19:16:10.924885 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 41708:41864, ack 1, win 310, length 156
19:16:10.924998 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 41864:42020, ack 1, win 310, length 156
19:16:10.925110 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42020:42176, ack 1, win 310, length 156
19:16:10.925221 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42176:42332, ack 1, win 310, length 156
19:16:10.925333 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42332:42488, ack 1, win 310, length 156
19:16:10.925475 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42488:42644, ack 1, win 310, length 156
19:16:10.925684 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42644:42800, ack 1, win 310, length 156
19:16:10.925881 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42800:42956, ack 1, win 310, length 156
19:16:10.926075 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 42956:43112, ack 1, win 310, length 156
19:16:10.926200 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 43112:43268, ack 1, win 310, length 156
19:16:10.926316 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 43268:43424, ack 1, win 310, length 156
19:16:10.926433 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 43424:43580, ack 1, win 310, length 156
19:16:10.926547 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 43580:43736, ack 1, win 310, length 156
19:16:10.926661 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 43736:43892, ack 1, win 310, length 156
19:16:10.926774 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 43892:44048, ack 1, win 310, length 156
19:16:10.926886 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44048:44204, ack 1, win 310, length 156
19:16:10.927002 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44204:44360, ack 1, win 310, length 156
19:16:10.927116 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44360:44516, ack 1, win 310, length 156
19:16:10.927230 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44516:44672, ack 1, win 310, length 156
19:16:10.927344 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44672:44828, ack 1, win 310, length 156
19:16:10.927457 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44828:44984, ack 1, win 310, length 156
19:16:10.927569 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 44984:45140, ack 1, win 310, length 156
19:16:10.927682 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 45140:45296, ack 1, win 310, length 156
19:16:10.927796 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 45296:45452, ack 1, win 310, length 156
19:16:10.927939 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 45452:45608, ack 1, win 310, length 156
19:16:10.928087 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 45608:45764, ack 1, win 310, length 156
19:16:10.928208 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 45764:45920, ack 1, win 310, length 156
19:16:10.928323 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 45920:46076, ack 1, win 310, length 156
19:16:10.928442 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 46076:46232, ack 1, win 310, length 156
19:16:10.928556 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 46232:46388, ack 1, win 310, length 156
19:16:10.928669 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 46388:46544, ack 1, win 310, length 156
19:16:10.928782 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 46544:46700, ack 1, win 310, length 156
19:16:10.928930 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 46700:46856, ack 1, win 310, length 156
19:16:10.929156 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 46856:47012, ack 1, win 310, length 156
19:16:10.929309 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47012:47168, ack 1, win 310, length 156
19:16:10.929429 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47168:47324, ack 1, win 310, length 156
19:16:10.929558 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47324:47480, ack 1, win 310, length 156
19:16:10.929678 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47480:47636, ack 1, win 310, length 156
19:16:10.929792 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47636:47792, ack 1, win 310, length 156
19:16:10.929942 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47792:47948, ack 1, win 310, length 156
19:16:10.930068 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 47948:48104, ack 1, win 310, length 156
19:16:10.930189 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 48104:48260, ack 1, win 310, length 156
19:16:10.930306 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 48260:48416, ack 1, win 310, length 156
19:16:10.930421 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 48416:48572, ack 1, win 310, length 156
19:16:10.930534 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 48572:48728, ack 1, win 310, length 156
19:16:10.930646 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 48728:48884, ack 1, win 310, length 156
19:16:10.930759 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 48884:49040, ack 1, win 310, length 156
19:16:10.930870 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49040:49196, ack 1, win 310, length 156
19:16:10.930989 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49196:49352, ack 1, win 310, length 156
19:16:10.931104 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49352:49508, ack 1, win 310, length 156
19:16:10.931226 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49508:49664, ack 1, win 310, length 156
19:16:10.931341 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49664:49820, ack 1, win 310, length 156
19:16:10.931457 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49820:49976, ack 1, win 310, length 156
19:16:10.931569 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 49976:50132, ack 1, win 310, length 156
19:16:10.931682 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 50132:50288, ack 1, win 310, length 156
19:16:10.931794 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 50288:50444, ack 1, win 310, length 156
19:16:10.932319 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 38008, win 512, length 0
19:16:10.932371 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 43112, win 512, length 0
19:16:10.932398 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 46544, win 512, length 0
19:16:10.932528 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 50444:50600, ack 1, win 310, length 156
19:16:10.932666 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 50600:51052, ack 1, win 310, length 452
19:16:10.932787 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51052:51208, ack 1, win 310, length 156
19:16:10.932900 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51208:51364, ack 1, win 310, length 156
19:16:10.933015 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51364:51520, ack 1, win 310, length 156
19:16:10.933128 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51520:51676, ack 1, win 310, length 156
19:16:10.933241 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51676:51832, ack 1, win 310, length 156
19:16:10.933353 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51832:51988, ack 1, win 310, length 156
19:16:10.933465 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 51988:52144, ack 1, win 310, length 156
19:16:10.933598 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 52144:52300, ack 1, win 310, length 156
19:16:10.933709 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 52300:52456, ack 1, win 310, length 156
19:16:10.933819 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 52456:52612, ack 1, win 310, length 156
19:16:10.933960 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 52612:52768, ack 1, win 310, length 156
19:16:10.934077 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 52768:52924, ack 1, win 310, length 156
19:16:10.934188 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 52924:53080, ack 1, win 310, length 156
19:16:10.934301 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 53080:53236, ack 1, win 310, length 156
19:16:10.934413 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 53236:53392, ack 1, win 310, length 156
19:16:10.934525 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 53392:53548, ack 1, win 310, length 156
19:16:10.934636 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 53548:53704, ack 1, win 310, length 156
19:16:10.934746 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 53704:53860, ack 1, win 310, length 156
19:16:10.934857 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 53860:54016, ack 1, win 310, length 156
19:16:10.935009 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54016:54172, ack 1, win 310, length 156
19:16:10.935210 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54172:54328, ack 1, win 310, length 156
19:16:10.935338 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54328:54484, ack 1, win 310, length 156
19:16:10.935453 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54484:54640, ack 1, win 310, length 156
19:16:10.935567 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54640:54796, ack 1, win 310, length 156
19:16:10.935678 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54796:54952, ack 1, win 310, length 156
19:16:10.935791 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 54952:55108, ack 1, win 310, length 156
19:16:10.935925 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 55108:55264, ack 1, win 310, length 156
19:16:10.936040 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 55264:55420, ack 1, win 310, length 156
19:16:10.936155 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 55420:55576, ack 1, win 310, length 156
19:16:10.936268 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 55576:55732, ack 1, win 310, length 156
19:16:10.936379 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 55732:55888, ack 1, win 310, length 156
19:16:10.936494 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 55888:56044, ack 1, win 310, length 156
19:16:10.936606 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56044:56200, ack 1, win 310, length 156
19:16:10.936718 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56200:56356, ack 1, win 310, length 156
19:16:10.936830 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56356:56512, ack 1, win 310, length 156
19:16:10.936940 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56512:56668, ack 1, win 310, length 156
19:16:10.937055 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56668:56824, ack 1, win 310, length 156
19:16:10.937172 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56824:56980, ack 1, win 310, length 156
19:16:10.937287 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 56980:57136, ack 1, win 310, length 156
19:16:10.937420 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 57136:57292, ack 1, win 310, length 156
19:16:10.937535 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 57292:57448, ack 1, win 310, length 156
19:16:10.937647 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 57448:57604, ack 1, win 310, length 156
19:16:10.937759 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 57604:57760, ack 1, win 310, length 156
19:16:10.937870 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 57760:57916, ack 1, win 310, length 156
19:16:10.938016 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 57916:58072, ack 1, win 310, length 156
19:16:10.938130 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 58072:58228, ack 1, win 310, length 156
19:16:10.938244 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 58228:58384, ack 1, win 310, length 156
19:16:10.938357 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 58384:58540, ack 1, win 310, length 156
19:16:10.938468 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 58540:58696, ack 1, win 310, length 156
19:16:10.938580 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 58696:58852, ack 1, win 310, length 156
19:16:10.938691 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 58852:59008, ack 1, win 310, length 156
19:16:10.938803 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59008:59164, ack 1, win 310, length 156
19:16:10.938914 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59164:59320, ack 1, win 310, length 156
19:16:10.939025 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59320:59476, ack 1, win 310, length 156
19:16:10.939137 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59476:59632, ack 1, win 310, length 156
19:16:10.939252 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59632:59788, ack 1, win 310, length 156
19:16:10.939377 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59788:59944, ack 1, win 310, length 156
19:16:10.939556 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 59944:60100, ack 1, win 310, length 156
19:16:10.939696 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 60100:60256, ack 1, win 310, length 156
19:16:10.939817 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 60256:60412, ack 1, win 310, length 156
19:16:10.939962 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 60412:60568, ack 1, win 310, length 156
19:16:10.940085 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 60568:60724, ack 1, win 310, length 156
19:16:10.940296 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 60724:60880, ack 1, win 310, length 156
19:16:10.940442 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 60880:61036, ack 1, win 310, length 156
19:16:10.940563 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61036:61192, ack 1, win 310, length 156
19:16:10.940682 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61192:61348, ack 1, win 310, length 156
19:16:10.940797 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61348:61504, ack 1, win 310, length 156
19:16:10.940909 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61504:61660, ack 1, win 310, length 156
19:16:10.941028 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61660:61816, ack 1, win 310, length 156
19:16:10.941150 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61816:61972, ack 1, win 310, length 156
19:16:10.941266 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 61972:62128, ack 1, win 310, length 156
19:16:10.941379 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 62128:62284, ack 1, win 310, length 156
19:16:10.941495 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 62284:62440, ack 1, win 310, length 156
19:16:10.941606 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 62440:62596, ack 1, win 310, length 156
19:16:10.941717 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 62596:62752, ack 1, win 310, length 156
19:16:10.941828 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 62752:62908, ack 1, win 310, length 156
19:16:10.941992 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 62908:63064, ack 1, win 310, length 156
19:16:10.942112 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 63064:63220, ack 1, win 310, length 156
19:16:10.942242 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 51832, win 512, length 0
19:16:10.942322 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 63220:63376, ack 1, win 310, length 156
19:16:10.942373 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 56824, win 512, length 0
19:16:10.942382 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 59320, win 512, length 0
19:16:10.942567 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 63376:63828, ack 1, win 310, length 452
19:16:10.942707 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 63828:63984, ack 1, win 310, length 156
19:16:10.942823 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 63984:64140, ack 1, win 310, length 156
19:16:10.942934 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 64140:64296, ack 1, win 310, length 156
19:16:10.943046 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 64296:64452, ack 1, win 310, length 156
19:16:10.943158 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 64452:64608, ack 1, win 310, length 156
19:16:10.943270 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 64608:64764, ack 1, win 310, length 156
19:16:10.943382 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 64764:64920, ack 1, win 310, length 156
19:16:10.943521 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 64920:65076, ack 1, win 310, length 156
19:16:10.943633 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 65076:65232, ack 1, win 310, length 156
19:16:10.943749 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 65232:65388, ack 1, win 310, length 156
19:16:10.943864 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 65388:65544, ack 1, win 310, length 156
19:16:10.944001 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 65544:65700, ack 1, win 310, length 156
19:16:10.944121 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 65700:65856, ack 1, win 310, length 156
19:16:10.944234 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 65856:66012, ack 1, win 310, length 156
19:16:10.944417 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66012:66168, ack 1, win 310, length 156
19:16:10.944631 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66168:66324, ack 1, win 310, length 156
19:16:10.944836 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66324:66480, ack 1, win 310, length 156
19:16:10.945020 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66480:66636, ack 1, win 310, length 156
19:16:10.945158 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66636:66792, ack 1, win 310, length 156
19:16:10.945273 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66792:66948, ack 1, win 310, length 156
